provinsi,tahun,bulan,ntn,sumber
NUSA TENGGARA BARAT,2024,5,102.75,perikanan_gabungan
NUSA TENGGARA BARAT,2024,6,101.13,perikanan_gabungan
NUSA TENGGARA BARAT,2024,7,101.97,perikanan_gabungan
NUSA TENGGARA BARAT,2024,8,102.42,perikanan_gabungan
NUSA TENGGARA BARAT,2024,9,101.99,perikanan_gabungan
NUSA TENGGARA BARAT,2024,10,103.24,perikanan_gabungan
NUSA TENGGARA BARAT,2024,11,104.12,perikanan_gabungan
NUSA TENGGARA BARAT,2024,12,105.59,perikanan_gabungan
NUSA TENGGARA BARAT,2025,1,106.15,perikanan_gabungan
NUSA TENGGARA BARAT,2025,2,107.54,perikanan_gabungan
NUSA TENGGARA BARAT,2025,3,104.96,perikanan_gabungan
NUSA TENGGARA BARAT,2025,4,105.77,perikanan_gabungan
NUSA TENGGARA BARAT,2025,5,106.81,perikanan_gabungan
NUSA TENGGARA BARAT,2025,6,106.33,perikanan_gabungan
NUSA TENGGARA BARAT,2025,7,107.68,perikanan_gabungan
NUSA TENGGARA BARAT,2025,8,108.4,perikanan_gabungan
NUSA TENGGARA BARAT,2025,9,108.78,perikanan_gabungan
NUSA TENGGARA BARAT,2025,10,107.24,perikanan_gabungan
NUSA TENGGARA BARAT,2025,11,107.41,perikanan_gabungan
NUSA TENGGARA BARAT,2025,12,106.82,perikanan_gabungan
NUSA TENGGARA BARAT,2026,1,109.16,perikanan_gabungan
NUSA TENGGARA BARAT,2026,2,110.15,perikanan_gabungan
NUSA TENGGARA BARAT,2026,3,113.14,perikanan_gabungan
NUSA TENGGARA BARAT,2026,4,110.26,perikanan_gabungan
NUSA TENGGARA BARAT,2026,5,109.53,perikanan_gabungan
NUSA TENGGARA BARAT,2026,6,108.85,perikanan_gabungan
NUSA TENGGARA BARAT,2026,7,111.3,perikanan_gabungan
NUSA TENGGARA BARAT,2026,8,113.16,perikanan_gabungan
NUSA TENGGARA TIMUR,2019,1,97.1,NTN_langsung
NUSA TENGGARA TIMUR,2019,2,95.85,NTN_langsung
NUSA TENGGARA TIMUR,2019,3,96.28,NTN_langsung
NUSA TENGGARA TIMUR,2019,4,94.99,NTN_langsung
NUSA TENGGARA TIMUR,2019,5,94.49,NTN_langsung
NUSA TENGGARA TIMUR,2019,6,95.87,NTN_langsung
NUSA TENGGARA TIMUR,2019,7,95.31,NTN_langsung
NUSA TENGGARA TIMUR,2019,8,96.53,NTN_langsung
NUSA TENGGARA TIMUR,2019,9,96.59,NTN_langsung
NUSA TENGGARA TIMUR,2019,10,96.92,NTN_langsung
NUSA TENGGARA TIMUR,2019,11,96.51,NTN_langsung
NUSA TENGGARA TIMUR,2019,12,96.39,NTN_langsung
NUSA TENGGARA TIMUR,2020,1,95.58,NTN_langsung
NUSA TENGGARA TIMUR,2020,2,95.97,NTN_langsung
NUSA TENGGARA TIMUR,2020,3,94.8,NTN_langsung
NUSA TENGGARA TIMUR,2020,4,94.23,NTN_langsung
NUSA TENGGARA TIMUR,2020,5,93.39,NTN_langsung
NUSA TENGGARA TIMUR,2020,6,94.9,NTN_langsung
NUSA TENGGARA TIMUR,2020,7,95.37,NTN_langsung
NUSA TENGGARA TIMUR,2020,8,94.28,NTN_langsung
NUSA TENGGARA TIMUR,2020,9,92.86,NTN_langsung
NUSA TENGGARA TIMUR,2020,10,92.66,NTN_langsung
NUSA TENGGARA TIMUR,2020,11,92.59,NTN_langsung
NUSA TENGGARA TIMUR,2020,12,93.82,NTN_langsung
NUSA TENGGARA TIMUR,2021,1,93.71,NTN_langsung
NUSA TENGGARA TIMUR,2021,2,93.69,NTN_langsung
NUSA TENGGARA TIMUR,2021,3,92.38,NTN_langsung
NUSA TENGGARA TIMUR,2021,4,93.48,NTN_langsung
NUSA TENGGARA TIMUR,2021,5,93.83,NTN_langsung
NUSA TENGGARA TIMUR,2021,6,93.14,NTN_langsung
NUSA TENGGARA TIMUR,2021,7,93.07,NTN_langsung
NUSA TENGGARA TIMUR,2021,8,92.75,NTN_langsung
NUSA TENGGARA TIMUR,2021,9,91.26,NTN_langsung
NUSA TENGGARA TIMUR,2021,10,91.14,NTN_langsung
NUSA TENGGARA TIMUR,2021,11,90.97,NTN_langsung
NUSA TENGGARA TIMUR,2021,12,91.17,NTN_langsung
NUSA TENGGARA TIMUR,2022,1,93.11,NTN_langsung
NUSA TENGGARA TIMUR,2022,2,91.76,NTN_langsung
NUSA TENGGARA TIMUR,2022,3,91.6,NTN_langsung
NUSA TENGGARA TIMUR,2022,4,91.03,NTN_langsung
NUSA TENGGARA TIMUR,2022,5,90.72,NTN_langsung
NUSA TENGGARA TIMUR,2022,6,91.18,NTN_langsung
NUSA TENGGARA TIMUR,2022,7,91.51,NTN_langsung
NUSA TENGGARA TIMUR,2022,8,91.7,NTN_langsung
NUSA TENGGARA TIMUR,2022,9,92.01,NTN_langsung
NUSA TENGGARA TIMUR,2022,10,91.37,NTN_langsung
NUSA TENGGARA TIMUR,2022,11,91.23,NTN_langsung
NUSA TENGGARA TIMUR,2022,12,91.36,NTN_langsung
NUSA TENGGARA TIMUR,2023,1,93.19,NTN_langsung
NUSA TENGGARA TIMUR,2023,2,92.01,NTN_langsung
NUSA TENGGARA TIMUR,2023,3,91.24,NTN_langsung
NUSA TENGGARA TIMUR,2023,4,91.3,NTN_langsung
NUSA TENGGARA TIMUR,2023,5,91.84,NTN_langsung
NUSA TENGGARA TIMUR,2023,6,92.04,NTN_langsung
NUSA TENGGARA TIMUR,2023,7,93.84,NTN_langsung
NUSA TENGGARA TIMUR,2023,8,94.26,NTN_langsung
NUSA TENGGARA TIMUR,2023,9,94.22,NTN_langsung
NUSA TENGGARA TIMUR,2023,10,93.32,NTN_langsung
NUSA TENGGARA TIMUR,2023,11,91.57,NTN_langsung
NUSA TENGGARA TIMUR,2023,12,90.27,NTN_langsung
NUSA TENGGARA TIMUR,2024,1,90.11,NTN_langsung
NUSA TENGGARA TIMUR,2024,2,89.38,NTN_langsung
NUSA TENGGARA TIMUR,2024,3,89.32,NTN_langsung
NUSA TENGGARA TIMUR,2024,4,88.94,NTN_langsung
NUSA TENGGARA TIMUR,2024,5,88.07,NTN_langsung
NUSA TENGGARA TIMUR,2024,6,89.59,NTN_langsung
NUSA TENGGARA TIMUR,2024,7,90.14,NTN_langsung
NUSA TENGGARA TIMUR,2024,8,89.86,NTN_langsung
NUSA TENGGARA TIMUR,2024,9,89.79,NTN_langsung
NUSA TENGGARA TIMUR,2024,10,89.28,NTN_langsung
NUSA TENGGARA TIMUR,2024,11,89.07,NTN_langsung
NUSA TENGGARA TIMUR,2024,12,90.34,NTN_langsung
NUSA TENGGARA TIMUR,2025,1,91.87,NTN_langsung
NUSA TENGGARA TIMUR,2025,2,92.85,NTN_langsung
NUSA TENGGARA TIMUR,2025,3,92.89,NTN_langsung
NUSA TENGGARA TIMUR,2025,4,92.41,NTN_langsung
NUSA TENGGARA TIMUR,2025,5,91.23,NTN_langsung
NUSA TENGGARA TIMUR,2025,6,92.97,NTN_langsung
NUSA TENGGARA TIMUR,2025,7,91.72,NTN_langsung
NUSA TENGGARA TIMUR,2025,8,92.84,NTN_langsung
NUSA TENGGARA TIMUR,2025,9,93.35,NTN_langsung
NUSA TENGGARA TIMUR,2025,10,93.04,NTN_langsung
NUSA TENGGARA TIMUR,2025,11,92.98,NTN_langsung
NUSA TENGGARA TIMUR,2025,12,93.17,NTN_langsung
NUSA TENGGARA TIMUR,2026,1,95.17,NTN_langsung
NUSA TENGGARA TIMUR,2026,2,95.36,NTN_langsung
NUSA TENGGARA TIMUR,2026,3,94.42,NTN_langsung
NUSA TENGGARA TIMUR,2026,4,93.85,NTN_langsung
NUSA TENGGARA TIMUR,2026,5,94.12,NTN_langsung
NUSA TENGGARA TIMUR,2026,6,95.86,NTN_langsung
