zona,tier,tahun,bulan,t_tengah,t_absolut,hari,n_episode,n_hari_terpicu,cos1,sin1,cos2,sin2,musim,u_k
573-D,2,2014,12,349,5096,31,0,0,0.955028,-0.296516,0.824157,-0.566362,Barat,1.274
573-D,2,2015,1,15,5127,31,1,8,0.973155,0.230151,0.894061,0.447945,Barat,1.274
573-D,2,2015,2,46,5158,28,0,0,0.721031,0.692903,0.03977,0.999209,Barat,1.274
573-D,2,2015,3,74,5186,31,0,0,0.318001,0.94809,-0.79775,0.602988,Peralihan I,1.274
573-D,2,2015,4,105,5217,30,0,0,-0.208122,0.978103,-0.91337,-0.407129,Peralihan I,1.274
573-D,2,2015,5,135,5247,31,1,1,-0.66368,0.748017,-0.119059,-0.992887,Peralihan I,1.274
573-D,2,2015,6,166,5278,30,2,8,-0.951785,0.306767,0.811789,-0.583951,Timur,1.274
573-D,2,2015,7,196,5308,31,1,1,-0.979208,-0.202861,0.917695,0.397286,Timur,1.274
573-D,2,2015,8,227,5339,31,0,0,-0.740116,-0.67248,0.095543,0.995425,Timur,1.274
573-D,2,2015,9,258,5370,30,0,0,-0.295489,-0.955346,-0.825373,0.564588,Peralihan II,1.274
573-D,2,2015,10,288,5400,31,1,1,0.214427,-0.97674,-0.908042,-0.418879,Peralihan II,1.274
573-D,2,2015,11,319,5431,30,0,0,0.681185,-0.732111,-0.071973,-0.997407,Peralihan II,1.274
573-D,2,2015,12,349,5461,31,2,4,0.953744,-0.30062,0.819255,-0.57343,Barat,1.274
573-D,2,2016,1,15,5492,31,0,0,0.974136,0.225964,0.897881,0.440238,Barat,1.274
573-D,2,2016,2,46,5523,29,0,0,0.724004,0.689796,0.048363,0.99883,Barat,1.274
573-D,2,2016,3,75,5552,31,0,0,0.305743,0.952114,-0.813042,0.582205,Peralihan I,1.274
573-D,2,2016,4,106,5583,30,0,0,-0.220724,0.975336,-0.902562,-0.43056,Peralihan I,1.274
573-D,2,2016,5,136,5613,31,2,3,-0.673275,0.739392,-0.093402,-0.995628,Peralihan I,1.274
573-D,2,2016,6,167,5644,30,1,4,-0.955663,0.294462,0.826585,-0.562812,Timur,1.274
573-D,2,2016,7,197,5674,31,1,7,-0.976509,-0.215477,0.907139,0.420831,Timur,1.274
573-D,2,2016,8,228,5705,31,1,3,-0.731378,-0.681972,0.069828,0.997559,Timur,1.274
573-D,2,2016,9,259,5736,30,0,0,-0.283139,-0.959079,-0.839665,0.543105,Peralihan II,1.274
573-D,2,2016,10,289,5766,31,0,0,0.227011,-0.973892,-0.896932,-0.442168,Peralihan II,1.274
573-D,2,2016,11,320,5797,30,0,0,0.690574,-0.723262,-0.046215,-0.998932,Peralihan II,1.274
573-D,2,2016,12,350,5827,31,1,7,0.957543,-0.288291,0.833777,-0.552101,Barat,1.274
573-D,2,2017,1,15,5858,31,2,3,0.971139,0.238513,0.886224,0.463258,Barat,1.274
573-D,2,2017,2,46,5889,28,1,8,0.715044,0.699079,0.022576,0.999745,Barat,1.274
573-D,2,2017,3,74,5917,31,1,3,0.309835,0.95079,-0.808005,0.589176,Peralihan I,1.274
573-D,2,2017,4,105,5948,30,0,0,-0.216527,0.976277,-0.906232,-0.422781,Peralihan I,1.274
573-D,2,2017,5,135,5978,31,2,3,-0.670089,0.742281,-0.101962,-0.994788,Peralihan I,1.274
573-D,2,2017,6,166,6009,30,1,9,-0.954388,0.298569,0.821713,-0.569901,Timur,1.274
573-D,2,2017,7,196,6039,31,4,5,-0.977426,-0.211276,0.910725,0.413013,Timur,1.274
573-D,2,2017,8,227,6070,31,2,5,-0.734304,-0.67882,0.078406,0.996922,Timur,1.274
573-D,2,2017,9,258,6101,30,0,0,-0.287261,-0.957852,-0.834962,0.550307,Peralihan II,1.274
573-D,2,2017,10,288,6131,31,1,1,0.22282,-0.97486,-0.900702,-0.434437,Peralihan II,1.274
573-D,2,2017,11,319,6162,30,0,0,0.687457,-0.726225,-0.054805,-0.998497,Peralihan II,1.274
573-D,2,2017,12,349,6192,31,0,0,0.956294,-0.292406,0.828997,-0.559252,Barat,1.274
573-D,2,2018,1,15,6223,31,2,8,0.972156,0.234334,0.890175,0.455618,Barat,1.274
573-D,2,2018,2,46,6254,28,0,1,0.718044,0.695998,0.031174,0.999514,Barat,1.274
573-D,2,2018,3,74,6282,31,0,0,0.313921,0.949449,-0.802907,0.596104,Peralihan I,1.274
573-D,2,2018,4,105,6313,30,1,1,-0.212327,0.977199,-0.909835,-0.41497,Peralihan I,1.274
573-D,2,2018,5,135,6343,31,2,7,-0.66689,0.745156,-0.110514,-0.993875,Peralihan I,1.274
573-D,2,2018,6,166,6374,30,2,2,-0.953095,0.30267,0.816781,-0.576948,Timur,1.274
573-D,2,2018,7,196,6404,31,5,11,-0.978326,-0.20707,0.914244,0.405165,Timur,1.274
573-D,2,2018,8,227,6435,31,2,5,-0.737217,-0.675656,0.086977,0.99621,Timur,1.274
573-D,2,2018,9,258,6466,30,0,0,-0.291378,-0.956608,-0.830198,0.557468,Peralihan II,1.274
573-D,2,2018,10,288,6496,31,0,0,0.218626,-0.975809,-0.904405,-0.426674,Peralihan II,1.274
573-D,2,2018,11,319,6527,30,0,0,0.684328,-0.729175,-0.063391,-0.997989,Peralihan II,1.274
573-D,2,2018,12,349,6557,31,2,2,0.955028,-0.296516,0.824157,-0.566362,Barat,1.274
573-D,2,2019,1,15,6588,31,1,6,0.973155,0.230151,0.894061,0.447945,Barat,1.274
573-D,2,2019,2,46,6619,28,0,0,0.721031,0.692903,0.03977,0.999209,Barat,1.274
573-D,2,2019,3,74,6647,31,2,2,0.318001,0.94809,-0.79775,0.602988,Peralihan I,1.274
573-D,2,2019,4,105,6678,30,0,0,-0.208122,0.978103,-0.91337,-0.407129,Peralihan I,1.274
573-D,2,2019,5,135,6708,31,2,4,-0.66368,0.748017,-0.119059,-0.992887,Peralihan I,1.274
573-D,2,2019,6,166,6739,30,3,13,-0.951785,0.306767,0.811789,-0.583951,Timur,1.274
573-D,2,2019,7,196,6769,31,4,8,-0.979208,-0.202861,0.917695,0.397286,Timur,1.274
573-D,2,2019,8,227,6800,31,2,4,-0.740116,-0.67248,0.095543,0.995425,Timur,1.274
573-D,2,2019,9,258,6831,30,3,3,-0.295489,-0.955346,-0.825373,0.564588,Peralihan II,1.274
573-D,2,2019,10,288,6861,31,0,0,0.214427,-0.97674,-0.908042,-0.418879,Peralihan II,1.274
573-D,2,2019,11,319,6892,30,0,0,0.681185,-0.732111,-0.071973,-0.997407,Peralihan II,1.274
573-D,2,2019,12,349,6922,31,0,0,0.953744,-0.30062,0.819255,-0.57343,Barat,1.274
573-D,2,2020,1,15,6953,31,2,5,0.974136,0.225964,0.897881,0.440238,Barat,1.274
573-D,2,2020,2,46,6984,29,0,0,0.724004,0.689796,0.048363,0.99883,Barat,1.274
573-D,2,2020,3,75,7013,31,0,0,0.305743,0.952114,-0.813042,0.582205,Peralihan I,1.274
573-D,2,2020,4,106,7044,30,0,0,-0.220724,0.975336,-0.902562,-0.43056,Peralihan I,1.274
573-D,2,2020,5,136,7074,31,2,5,-0.673275,0.739392,-0.093402,-0.995628,Peralihan I,1.274
573-D,2,2020,6,167,7105,30,2,7,-0.955663,0.294462,0.826585,-0.562812,Timur,1.274
573-D,2,2020,7,197,7135,31,4,16,-0.976509,-0.215477,0.907139,0.420831,Timur,1.274
573-D,2,2020,8,228,7166,31,3,5,-0.731378,-0.681972,0.069828,0.997559,Timur,1.274
573-D,2,2020,9,259,7197,30,1,5,-0.283139,-0.959079,-0.839665,0.543105,Peralihan II,1.274
573-D,2,2020,10,289,7227,31,1,1,0.227011,-0.973892,-0.896932,-0.442168,Peralihan II,1.274
573-D,2,2020,11,320,7258,30,0,0,0.690574,-0.723262,-0.046215,-0.998932,Peralihan II,1.274
573-D,2,2020,12,350,7288,31,0,0,0.957543,-0.288291,0.833777,-0.552101,Barat,1.274
573-D,2,2021,1,15,7319,31,1,3,0.971139,0.238513,0.886224,0.463258,Barat,1.274
573-D,2,2021,2,46,7350,28,0,4,0.715044,0.699079,0.022576,0.999745,Barat,1.274
573-D,2,2021,3,74,7378,31,0,0,0.309835,0.95079,-0.808005,0.589176,Peralihan I,1.274
573-D,2,2021,4,105,7409,30,1,5,-0.216527,0.976277,-0.906232,-0.422781,Peralihan I,1.274
573-D,2,2021,5,135,7439,31,0,0,-0.670089,0.742281,-0.101962,-0.994788,Peralihan I,1.274
573-D,2,2021,6,166,7470,30,0,0,-0.954388,0.298569,0.821713,-0.569901,Timur,1.274
573-D,2,2021,7,196,7500,31,2,4,-0.977426,-0.211276,0.910725,0.413013,Timur,1.274
573-D,2,2021,8,227,7531,31,2,6,-0.734304,-0.67882,0.078406,0.996922,Timur,1.274
573-D,2,2021,9,258,7562,30,1,3,-0.287261,-0.957852,-0.834962,0.550307,Peralihan II,1.274
573-D,2,2021,10,288,7592,31,1,1,0.22282,-0.97486,-0.900702,-0.434437,Peralihan II,1.274
573-D,2,2021,11,319,7623,30,0,0,0.687457,-0.726225,-0.054805,-0.998497,Peralihan II,1.274
573-D,2,2021,12,349,7653,31,1,1,0.956294,-0.292406,0.828997,-0.559252,Barat,1.274
573-D,2,2022,1,15,7684,31,2,4,0.972156,0.234334,0.890175,0.455618,Barat,1.274
573-D,2,2022,2,46,7715,28,0,2,0.718044,0.695998,0.031174,0.999514,Barat,1.274
573-D,2,2022,3,74,7743,31,0,0,0.313921,0.949449,-0.802907,0.596104,Peralihan I,1.274
573-D,2,2022,4,105,7774,30,0,0,-0.212327,0.977199,-0.909835,-0.41497,Peralihan I,1.274
573-D,2,2022,5,135,7804,31,0,0,-0.66689,0.745156,-0.110514,-0.993875,Peralihan I,1.274
573-D,2,2022,6,166,7835,30,2,4,-0.953095,0.30267,0.816781,-0.576948,Timur,1.274
573-D,2,2022,7,196,7865,31,4,10,-0.978326,-0.20707,0.914244,0.405165,Timur,1.274
573-D,2,2022,8,227,7896,31,2,3,-0.737217,-0.675656,0.086977,0.99621,Timur,1.274
573-D,2,2022,9,258,7927,30,0,0,-0.291378,-0.956608,-0.830198,0.557468,Peralihan II,1.274
573-D,2,2022,10,288,7957,31,0,0,0.218626,-0.975809,-0.904405,-0.426674,Peralihan II,1.274
573-D,2,2022,11,319,7988,30,0,0,0.684328,-0.729175,-0.063391,-0.997989,Peralihan II,1.274
573-D,2,2022,12,349,8018,31,2,5,0.955028,-0.296516,0.824157,-0.566362,Barat,1.274
573-D,2,2023,1,15,8049,31,0,7,0.973155,0.230151,0.894061,0.447945,Barat,1.274
573-D,2,2023,2,46,8080,28,3,7,0.721031,0.692903,0.03977,0.999209,Barat,1.274
573-D,2,2023,3,74,8108,31,0,0,0.318001,0.94809,-0.79775,0.602988,Peralihan I,1.274
573-D,2,2023,4,105,8139,30,0,0,-0.208122,0.978103,-0.91337,-0.407129,Peralihan I,1.274
573-D,2,2023,5,135,8169,31,0,0,-0.66368,0.748017,-0.119059,-0.992887,Peralihan I,1.274
573-D,2,2023,6,166,8200,30,0,0,-0.951785,0.306767,0.811789,-0.583951,Timur,1.274
573-D,2,2023,7,196,8230,31,3,14,-0.979208,-0.202861,0.917695,0.397286,Timur,1.274
573-D,2,2023,8,227,8261,31,4,6,-0.740116,-0.67248,0.095543,0.995425,Timur,1.274
573-D,2,2023,9,258,8292,30,2,5,-0.295489,-0.955346,-0.825373,0.564588,Peralihan II,1.274
573-D,2,2023,10,288,8322,31,0,0,0.214427,-0.97674,-0.908042,-0.418879,Peralihan II,1.274
573-D,2,2023,11,319,8353,30,0,0,0.681185,-0.732111,-0.071973,-0.997407,Peralihan II,1.274
573-D,2,2023,12,349,8383,31,0,0,0.953744,-0.30062,0.819255,-0.57343,Barat,1.274
573-D,2,2024,1,15,8414,31,0,0,0.974136,0.225964,0.897881,0.440238,Barat,1.274
573-D,2,2024,2,46,8445,29,0,0,0.724004,0.689796,0.048363,0.99883,Barat,1.274
573-D,2,2024,3,75,8474,31,1,6,0.305743,0.952114,-0.813042,0.582205,Peralihan I,1.274
573-D,2,2024,4,106,8505,30,0,0,-0.220724,0.975336,-0.902562,-0.43056,Peralihan I,1.274
573-D,2,2024,5,136,8535,31,0,0,-0.673275,0.739392,-0.093402,-0.995628,Peralihan I,1.274
573-D,2,2024,6,167,8566,30,2,5,-0.955663,0.294462,0.826585,-0.562812,Timur,1.274
573-D,2,2024,7,197,8596,31,2,4,-0.976509,-0.215477,0.907139,0.420831,Timur,1.274
573-D,2,2024,8,228,8627,31,3,5,-0.731378,-0.681972,0.069828,0.997559,Timur,1.274
573-D,2,2024,9,259,8658,30,0,0,-0.283139,-0.959079,-0.839665,0.543105,Peralihan II,1.274
573-D,2,2024,10,289,8688,31,1,1,0.227011,-0.973892,-0.896932,-0.442168,Peralihan II,1.274
573-D,2,2024,11,320,8719,30,0,0,0.690574,-0.723262,-0.046215,-0.998932,Peralihan II,1.274
573-D,2,2024,12,350,8749,31,0,0,0.957543,-0.288291,0.833777,-0.552101,Barat,1.274
573-D,2,2025,1,15,8780,31,1,1,0.971139,0.238513,0.886224,0.463258,Barat,1.274
573-D,2,2025,2,46,8811,28,0,12,0.715044,0.699079,0.022576,0.999745,Barat,1.274
573-D,2,2025,3,74,8839,31,1,1,0.309835,0.95079,-0.808005,0.589176,Peralihan I,1.274
573-D,2,2025,4,105,8870,30,0,0,-0.216527,0.976277,-0.906232,-0.422781,Peralihan I,1.274
573-D,2,2025,5,135,8900,31,0,0,-0.670089,0.742281,-0.101962,-0.994788,Peralihan I,1.274
573-D,2,2025,6,166,8931,30,3,9,-0.954388,0.298569,0.821713,-0.569901,Timur,1.274
573-D,2,2025,7,196,8961,31,1,2,-0.977426,-0.211276,0.910725,0.413013,Timur,1.274
573-D,2,2025,8,227,8992,31,2,4,-0.734304,-0.67882,0.078406,0.996922,Timur,1.274
573-D,2,2025,9,258,9023,30,1,2,-0.287261,-0.957852,-0.834962,0.550307,Peralihan II,1.274
573-D,2,2025,10,288,9053,31,0,0,0.22282,-0.97486,-0.900702,-0.434437,Peralihan II,1.274
573-D,2,2025,11,319,9084,30,0,0,0.687457,-0.726225,-0.054805,-0.998497,Peralihan II,1.274
573-D,2,2025,12,349,9114,31,0,0,0.956294,-0.292406,0.828997,-0.559252,Barat,1.274
573-D,3,2001,1,15,14,31,0,0,0.971139,0.238513,0.886224,0.463258,Barat,1.402
573-D,3,2001,2,46,45,28,1,8,0.715044,0.699079,0.022576,0.999745,Barat,1.402
573-D,3,2001,3,74,73,31,0,0,0.309835,0.95079,-0.808005,0.589176,Peralihan I,1.402
573-D,3,2001,4,105,104,30,0,0,-0.216527,0.976277,-0.906232,-0.422781,Peralihan I,1.402
573-D,3,2001,5,135,134,31,0,0,-0.670089,0.742281,-0.101962,-0.994788,Peralihan I,1.402
573-D,3,2001,6,166,165,30,1,7,-0.954388,0.298569,0.821713,-0.569901,Timur,1.402
573-D,3,2001,7,196,195,31,1,8,-0.977426,-0.211276,0.910725,0.413013,Timur,1.402
573-D,3,2001,8,227,226,31,1,2,-0.734304,-0.67882,0.078406,0.996922,Timur,1.402
573-D,3,2001,9,258,257,30,0,0,-0.287261,-0.957852,-0.834962,0.550307,Peralihan II,1.402
573-D,3,2001,10,288,287,31,0,0,0.22282,-0.97486,-0.900702,-0.434437,Peralihan II,1.402
573-D,3,2001,11,319,318,30,0,0,0.687457,-0.726225,-0.054805,-0.998497,Peralihan II,1.402
573-D,3,2001,12,349,348,31,0,0,0.956294,-0.292406,0.828997,-0.559252,Barat,1.402
573-D,3,2002,1,15,379,31,0,0,0.972156,0.234334,0.890175,0.455618,Barat,1.402
573-D,3,2002,2,46,410,28,1,4,0.718044,0.695998,0.031174,0.999514,Barat,1.402
573-D,3,2002,3,74,438,31,0,0,0.313921,0.949449,-0.802907,0.596104,Peralihan I,1.402
573-D,3,2002,4,105,469,30,0,0,-0.212327,0.977199,-0.909835,-0.41497,Peralihan I,1.402
573-D,3,2002,5,135,499,31,1,4,-0.66689,0.745156,-0.110514,-0.993875,Peralihan I,1.402
573-D,3,2002,6,166,530,30,0,0,-0.953095,0.30267,0.816781,-0.576948,Timur,1.402
573-D,3,2002,7,196,560,31,1,3,-0.978326,-0.20707,0.914244,0.405165,Timur,1.402
573-D,3,2002,8,227,591,31,1,2,-0.737217,-0.675656,0.086977,0.99621,Timur,1.402
573-D,3,2002,9,258,622,30,1,1,-0.291378,-0.956608,-0.830198,0.557468,Peralihan II,1.402
573-D,3,2002,10,288,652,31,0,0,0.218626,-0.975809,-0.904405,-0.426674,Peralihan II,1.402
573-D,3,2002,11,319,683,30,0,0,0.684328,-0.729175,-0.063391,-0.997989,Peralihan II,1.402
573-D,3,2002,12,349,713,31,0,0,0.955028,-0.296516,0.824157,-0.566362,Barat,1.402
573-D,3,2003,1,15,744,31,0,0,0.973155,0.230151,0.894061,0.447945,Barat,1.402
573-D,3,2003,2,46,775,28,1,4,0.721031,0.692903,0.03977,0.999209,Barat,1.402
573-D,3,2003,3,74,803,31,0,2,0.318001,0.94809,-0.79775,0.602988,Peralihan I,1.402
573-D,3,2003,4,105,834,30,0,0,-0.208122,0.978103,-0.91337,-0.407129,Peralihan I,1.402
573-D,3,2003,5,135,864,31,1,3,-0.66368,0.748017,-0.119059,-0.992887,Peralihan I,1.402
573-D,3,2003,6,166,895,30,0,0,-0.951785,0.306767,0.811789,-0.583951,Timur,1.402
573-D,3,2003,7,196,925,31,0,0,-0.979208,-0.202861,0.917695,0.397286,Timur,1.402
573-D,3,2003,8,227,956,31,2,4,-0.740116,-0.67248,0.095543,0.995425,Timur,1.402
573-D,3,2003,9,258,987,30,1,1,-0.295489,-0.955346,-0.825373,0.564588,Peralihan II,1.402
573-D,3,2003,10,288,1017,31,0,0,0.214427,-0.97674,-0.908042,-0.418879,Peralihan II,1.402
573-D,3,2003,11,319,1048,30,0,0,0.681185,-0.732111,-0.071973,-0.997407,Peralihan II,1.402
573-D,3,2003,12,349,1078,31,1,6,0.953744,-0.30062,0.819255,-0.57343,Barat,1.402
573-D,3,2004,1,15,1109,31,1,3,0.974136,0.225964,0.897881,0.440238,Barat,1.402
573-D,3,2004,2,46,1140,29,3,8,0.724004,0.689796,0.048363,0.99883,Barat,1.402
573-D,3,2004,3,75,1169,31,1,8,0.305743,0.952114,-0.813042,0.582205,Peralihan I,1.402
573-D,3,2004,4,106,1200,30,0,0,-0.220724,0.975336,-0.902562,-0.43056,Peralihan I,1.402
573-D,3,2004,5,136,1230,31,0,0,-0.673275,0.739392,-0.093402,-0.995628,Peralihan I,1.402
573-D,3,2004,6,167,1261,30,1,6,-0.955663,0.294462,0.826585,-0.562812,Timur,1.402
573-D,3,2004,7,197,1291,31,2,4,-0.976509,-0.215477,0.907139,0.420831,Timur,1.402
573-D,3,2004,8,228,1322,31,1,2,-0.731378,-0.681972,0.069828,0.997559,Timur,1.402
573-D,3,2004,9,259,1353,30,0,0,-0.283139,-0.959079,-0.839665,0.543105,Peralihan II,1.402
573-D,3,2004,10,289,1383,31,0,0,0.227011,-0.973892,-0.896932,-0.442168,Peralihan II,1.402
573-D,3,2004,11,320,1414,30,0,0,0.690574,-0.723262,-0.046215,-0.998932,Peralihan II,1.402
573-D,3,2004,12,350,1444,31,0,0,0.957543,-0.288291,0.833777,-0.552101,Barat,1.402
573-D,3,2005,1,15,1475,31,1,1,0.971139,0.238513,0.886224,0.463258,Barat,1.402
573-D,3,2005,2,46,1506,28,0,0,0.715044,0.699079,0.022576,0.999745,Barat,1.402
573-D,3,2005,3,74,1534,31,0,0,0.309835,0.95079,-0.808005,0.589176,Peralihan I,1.402
573-D,3,2005,4,105,1565,30,0,0,-0.216527,0.976277,-0.906232,-0.422781,Peralihan I,1.402
573-D,3,2005,5,135,1595,31,2,3,-0.670089,0.742281,-0.101962,-0.994788,Peralihan I,1.402
573-D,3,2005,6,166,1626,30,1,2,-0.954388,0.298569,0.821713,-0.569901,Timur,1.402
573-D,3,2005,7,196,1656,31,1,5,-0.977426,-0.211276,0.910725,0.413013,Timur,1.402
573-D,3,2005,8,227,1687,31,0,0,-0.734304,-0.67882,0.078406,0.996922,Timur,1.402
573-D,3,2005,9,258,1718,30,2,3,-0.287261,-0.957852,-0.834962,0.550307,Peralihan II,1.402
573-D,3,2005,10,288,1748,31,0,0,0.22282,-0.97486,-0.900702,-0.434437,Peralihan II,1.402
573-D,3,2005,11,319,1779,30,0,0,0.687457,-0.726225,-0.054805,-0.998497,Peralihan II,1.402
573-D,3,2005,12,349,1809,31,0,0,0.956294,-0.292406,0.828997,-0.559252,Barat,1.402
573-D,3,2006,1,15,1840,31,1,8,0.972156,0.234334,0.890175,0.455618,Barat,1.402
573-D,3,2006,2,46,1871,28,1,1,0.718044,0.695998,0.031174,0.999514,Barat,1.402
573-D,3,2006,3,74,1899,31,1,2,0.313921,0.949449,-0.802907,0.596104,Peralihan I,1.402
573-D,3,2006,4,105,1930,30,0,0,-0.212327,0.977199,-0.909835,-0.41497,Peralihan I,1.402
573-D,3,2006,5,135,1960,31,0,0,-0.66689,0.745156,-0.110514,-0.993875,Peralihan I,1.402
573-D,3,2006,6,166,1991,30,3,5,-0.953095,0.30267,0.816781,-0.576948,Timur,1.402
573-D,3,2006,7,196,2021,31,3,5,-0.978326,-0.20707,0.914244,0.405165,Timur,1.402
573-D,3,2006,8,227,2052,31,1,7,-0.737217,-0.675656,0.086977,0.99621,Timur,1.402
573-D,3,2006,9,258,2083,30,0,0,-0.291378,-0.956608,-0.830198,0.557468,Peralihan II,1.402
573-D,3,2006,10,288,2113,31,1,1,0.218626,-0.975809,-0.904405,-0.426674,Peralihan II,1.402
573-D,3,2006,11,319,2144,30,0,0,0.684328,-0.729175,-0.063391,-0.997989,Peralihan II,1.402
573-D,3,2006,12,349,2174,31,0,0,0.955028,-0.296516,0.824157,-0.566362,Barat,1.402
573-D,3,2007,1,15,2205,31,0,0,0.973155,0.230151,0.894061,0.447945,Barat,1.402
573-D,3,2007,2,46,2236,28,0,0,0.721031,0.692903,0.03977,0.999209,Barat,1.402
573-D,3,2007,3,74,2264,31,1,3,0.318001,0.94809,-0.79775,0.602988,Peralihan I,1.402
573-D,3,2007,4,105,2295,30,0,0,-0.208122,0.978103,-0.91337,-0.407129,Peralihan I,1.402
573-D,3,2007,5,135,2325,31,1,1,-0.66368,0.748017,-0.119059,-0.992887,Peralihan I,1.402
573-D,3,2007,6,166,2356,30,1,1,-0.951785,0.306767,0.811789,-0.583951,Timur,1.402
573-D,3,2007,7,196,2386,31,3,7,-0.979208,-0.202861,0.917695,0.397286,Timur,1.402
573-D,3,2007,8,227,2417,31,2,4,-0.740116,-0.67248,0.095543,0.995425,Timur,1.402
573-D,3,2007,9,258,2448,30,1,2,-0.295489,-0.955346,-0.825373,0.564588,Peralihan II,1.402
573-D,3,2007,10,288,2478,31,0,0,0.214427,-0.97674,-0.908042,-0.418879,Peralihan II,1.402
573-D,3,2007,11,319,2509,30,0,0,0.681185,-0.732111,-0.071973,-0.997407,Peralihan II,1.402
573-D,3,2007,12,349,2539,31,0,0,0.953744,-0.30062,0.819255,-0.57343,Barat,1.402
573-D,3,2008,1,15,2570,31,1,3,0.974136,0.225964,0.897881,0.440238,Barat,1.402
573-D,3,2008,2,46,2601,29,1,13,0.724004,0.689796,0.048363,0.99883,Barat,1.402
573-D,3,2008,3,75,2630,31,0,0,0.305743,0.952114,-0.813042,0.582205,Peralihan I,1.402
573-D,3,2008,4,106,2661,30,0,0,-0.220724,0.975336,-0.902562,-0.43056,Peralihan I,1.402
573-D,3,2008,5,136,2691,31,1,1,-0.673275,0.739392,-0.093402,-0.995628,Peralihan I,1.402
573-D,3,2008,6,167,2722,30,1,2,-0.955663,0.294462,0.826585,-0.562812,Timur,1.402
573-D,3,2008,7,197,2752,31,1,4,-0.976509,-0.215477,0.907139,0.420831,Timur,1.402
573-D,3,2008,8,228,2783,31,2,3,-0.731378,-0.681972,0.069828,0.997559,Timur,1.402
573-D,3,2008,9,259,2814,30,0,0,-0.283139,-0.959079,-0.839665,0.543105,Peralihan II,1.402
573-D,3,2008,10,289,2844,31,0,0,0.227011,-0.973892,-0.896932,-0.442168,Peralihan II,1.402
573-D,3,2008,11,320,2875,30,0,0,0.690574,-0.723262,-0.046215,-0.998932,Peralihan II,1.402
573-D,3,2008,12,350,2905,31,0,0,0.957543,-0.288291,0.833777,-0.552101,Barat,1.402
573-D,3,2009,1,15,2936,31,1,1,0.971139,0.238513,0.886224,0.463258,Barat,1.402
573-D,3,2009,2,46,2967,28,1,3,0.715044,0.699079,0.022576,0.999745,Barat,1.402
573-D,3,2009,3,74,2995,31,0,0,0.309835,0.95079,-0.808005,0.589176,Peralihan I,1.402
573-D,3,2009,4,105,3026,30,0,0,-0.216527,0.976277,-0.906232,-0.422781,Peralihan I,1.402
573-D,3,2009,5,135,3056,31,0,0,-0.670089,0.742281,-0.101962,-0.994788,Peralihan I,1.402
573-D,3,2009,6,166,3087,30,0,0,-0.954388,0.298569,0.821713,-0.569901,Timur,1.402
573-D,3,2009,7,196,3117,31,0,0,-0.977426,-0.211276,0.910725,0.413013,Timur,1.402
573-D,3,2009,8,227,3148,31,0,0,-0.734304,-0.67882,0.078406,0.996922,Timur,1.402
573-D,3,2009,9,258,3179,30,1,2,-0.287261,-0.957852,-0.834962,0.550307,Peralihan II,1.402
573-D,3,2009,10,288,3209,31,0,0,0.22282,-0.97486,-0.900702,-0.434437,Peralihan II,1.402
573-D,3,2009,11,319,3240,30,0,0,0.687457,-0.726225,-0.054805,-0.998497,Peralihan II,1.402
573-D,3,2009,12,349,3270,31,0,0,0.956294,-0.292406,0.828997,-0.559252,Barat,1.402
573-D,3,2010,1,15,3301,31,1,1,0.972156,0.234334,0.890175,0.455618,Barat,1.402
573-D,3,2010,2,46,3332,28,0,0,0.718044,0.695998,0.031174,0.999514,Barat,1.402
573-D,3,2010,3,74,3360,31,0,0,0.313921,0.949449,-0.802907,0.596104,Peralihan I,1.402
573-D,3,2010,4,105,3391,30,0,0,-0.212327,0.977199,-0.909835,-0.41497,Peralihan I,1.402
573-D,3,2010,5,135,3421,31,0,0,-0.66689,0.745156,-0.110514,-0.993875,Peralihan I,1.402
573-D,3,2010,6,166,3452,30,1,2,-0.953095,0.30267,0.816781,-0.576948,Timur,1.402
573-D,3,2010,7,196,3482,31,2,4,-0.978326,-0.20707,0.914244,0.405165,Timur,1.402
573-D,3,2010,8,227,3513,31,1,1,-0.737217,-0.675656,0.086977,0.99621,Timur,1.402
573-D,3,2010,9,258,3544,30,0,0,-0.291378,-0.956608,-0.830198,0.557468,Peralihan II,1.402
573-D,3,2010,10,288,3574,31,0,0,0.218626,-0.975809,-0.904405,-0.426674,Peralihan II,1.402
573-D,3,2010,11,319,3605,30,0,0,0.684328,-0.729175,-0.063391,-0.997989,Peralihan II,1.402
573-D,3,2010,12,349,3635,31,0,0,0.955028,-0.296516,0.824157,-0.566362,Barat,1.402
573-D,3,2011,1,15,3666,31,2,4,0.973155,0.230151,0.894061,0.447945,Barat,1.402
573-D,3,2011,2,46,3697,28,1,2,0.721031,0.692903,0.03977,0.999209,Barat,1.402
573-D,3,2011,3,74,3725,31,0,0,0.318001,0.94809,-0.79775,0.602988,Peralihan I,1.402
573-D,3,2011,4,105,3756,30,0,0,-0.208122,0.978103,-0.91337,-0.407129,Peralihan I,1.402
573-D,3,2011,5,135,3786,31,0,0,-0.66368,0.748017,-0.119059,-0.992887,Peralihan I,1.402
573-D,3,2011,6,166,3817,30,2,4,-0.951785,0.306767,0.811789,-0.583951,Timur,1.402
573-D,3,2011,7,196,3847,31,0,0,-0.979208,-0.202861,0.917695,0.397286,Timur,1.402
573-D,3,2011,8,227,3878,31,3,8,-0.740116,-0.67248,0.095543,0.995425,Timur,1.402
